subject,angle,number,memorization_task,success,quality_angle,quality_long,quality_ratio,renumber
3,0,4,False,NaN,7.326299905926259,19.738720111130636,0.9968181190933291,2
3,0,4,False,NaN,5.6925933841240015,4.521778306857017,1.0188299981166644,2
3,0,5,True,True,6.8125199327895345,26.032724851508398,0.9894880315337039,3
3,0,5,True,True,7.5203477245313355,28.40183958262528,0.9944784032507331,3
3,0,5,True,True,5.7001711993577135,22.22918856035818,1.0398356045326653,3
3,0,5,True,True,9.63218693487768,45.32580263566588,1.1457916247426403,3
3,0,5,True,True,6.492109731509434,31.001879272500407,1.1077159291772265,3
3,0,5,True,True,10.289729788276588,35.18495230742245,0.9909401182151018,3
3,0,5,True,True,7.664020180869348,37.71083611193352,1.115817968320255,3
3,0,6,False,NaN,5.950347115350659,26.647736620643705,1.0588273762911122,3
3,0,6,False,NaN,7.609725451797594,29.82117147109461,0.9741358849466394,3
3,0,6,False,NaN,5.4018398798841085,16.094189738125618,1.0573052889666015,3
3,0,6,False,NaN,6.966148735351583,29.996056934335247,0.9864676220498916,3
3,0,6,False,NaN,6.287483428554412,25.307334811064468,1.000791696817268,3
3,0,6,False,NaN,6.6999461420785185,28.165570238244435,0.9776897974716382,3
3,0,6,False,NaN,7.688996382719249,29.55707409866192,0.897205298835013,3
3,0,7,True,False,6.95376866544795,25.520350317894657,0.9473514462377836,4
3,0,7,True,False,7.233225568976049,34.09586280748485,0.9047892007159225,4
3,0,7,True,False,7.412031562272152,31.92147564343628,1.0351296652359439,4
3,0,7,True,False,8.879298343105972,36.27784030696472,0.9287379706217174,4
3,0,7,True,False,6.675963761936067,24.30103186654987,1.0541619004919003,4
3,0,7,True,False,11.202072741500688,42.81848514515017,1.1318912952050588,4
3,0,7,True,False,8.08158906572011,36.284464417811385,1.0319445949896404,4
3,0,8,False,NaN,6.419588263313516,33.363455116775256,1.0735409211577542,4
3,0,8,False,NaN,5.196445233597922,20.682048665846132,0.9835241290771827,4
3,0,8,False,NaN,7.9863189335584766,33.93030604418953,1.1144654443861186,4
3,0,8,False,NaN,5.030186480926207,12.407361115500542,0.9559616336010638,4
3,0,8,False,NaN,7.30795337707511,24.092818384315986,0.9569541415925641,4
3,0,8,False,NaN,5.835049658333101,17.727067543719798,1.0301763463962963,4
3,0,8,False,NaN,9.767103532168832,19.35017109210515,0.9886565333878904,4
3,0,9,True,False,9.828193174843381,47.553881572139375,1.1026892850797188,5
3,0,9,True,False,6.557924784257808,32.167139809960354,1.0888391236558477,5
3,0,9,True,False,11.27102579877824,51.77361839702402,1.1252015639271407,5
3,0,9,True,False,11.808528350864833,49.05620842213076,1.121275788839978,5
3,0,9,True,False,11.283367227970807,51.74270580643496,1.1155629745528202,5
3,0,9,True,False,9.085242411730619,142.45189001599456,0.5085934838051335,5
3,0,9,True,False,9.409408321957413,36.17449056847406,1.1152265481544652,5
3,90,10,True,True,12.801640042494101,56.701431891491225,0.8831165192306333,1
3,90,10,True,True,8.923522233038272,49.456017348398206,0.858505924969914,1
3,90,10,True,True,8.40193960140659,41.13009813033917,0.8868534965588677,1
3,90,10,True,True,11.724795037785873,37.04108327013943,0.9834543407357601,1
3,90,10,True,True,11.545864039609631,51.36232870222565,0.9837946513868326,1
3,90,10,True,True,7.4324471322709185,33.229943199721475,0.914618443457522,1
3,90,10,True,True,35.167716948604195,178.74535154876946,2.1576691884888546,1
3,90,11,False,NaN,9.646479877085467,38.74829932245846,0.9733405396496665,1
3,90,11,False,NaN,48.51471602059433,149.39084202771895,1.093945053662419,1
3,90,11,False,NaN,16.603426387368387,68.95391535908432,0.9016287359216981,1
3,90,11,False,NaN,7.90115700243043,49.431925593837384,0.8098093438988097,1
3,90,11,False,NaN,12.933219470148403,53.30635024074904,0.7802923608864079,1
3,90,11,False,NaN,13.702975353896205,56.41709698745256,0.8674127458002298,1
3,90,11,False,NaN,38.95399668694596,200.82938253266636,0.9871169545384011,1
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,12,True,False,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,13,False,NaN,NaN,NaN,NaN,2
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,14,True,True,NaN,NaN,NaN,3
3,90,15,False,NaN,NaN,NaN,NaN,3
3,90,15,False,NaN,NaN,NaN,NaN,3
3,90,15,False,NaN,NaN,NaN,NaN,3
3,90,15,False,NaN,NaN,NaN,NaN,3
3,90,15,False,NaN,NaN,NaN,NaN,3
